longitude,latitude,date,crop_type,NDVI,NDWI,NDMI,MSI,NDRE,stress_class,confidence,source,notes
36.8740,-1.3534,2024-02-15,corn,0.29,0.15,0.19,1.00,0.21,4,medium,field_survey,Early disease symptoms
36.8751,-1.3547,2024-03-10,rice,0.27,0.12,0.15,1.06,0.17,4,high,field_survey,Sheath blight
36.8762,-1.3560,2024-01-25,wheat,0.23,0.08,0.10,1.18,0.13,4,high,field_survey,Multiple disease complex

# Additional samples for better distribution - Healthy
36.8773,-1.3573,2024-02-01,wheat,0.76,0.31,0.43,0.57,0.63,0,high,field_survey,Healthy field
36.8784,-1.3586,2024-02-05,corn,0.78,0.33,0.45,0.55,0.65,0,high,field_survey,Good growth
36.8795,-1.3599,2024-02-20,rice,0.82,0.37,0.49,0.51,0.69,0,high,field_survey,Optimal conditions
36.8806,-1.3612,2024-03-01,wheat,0.80,0.35,0.47,0.53,0.67,0,high,field_survey,Peak health
36.8817,-1.3625,2024-03-15,corn,0.83,0.38,0.50,0.50,0.70,0,high,field_survey,Excellent vigor

# Additional Water Stress
36.8828,-1.3638,2024-02-01,wheat,0.40,-0.17,0.10,1.72,0.30,1,high,field_survey,Water deficit
36.8839,-1.3651,2024-02-05,corn,0.36,-0.24,0.07,1.85,0.26,1,high,field_survey,Drought conditions
36.8850,-1.3664,2024-02-20,rice,0.46,-0.12,0.14,1.58,0.36,1,medium,field_survey,Low water availability
36.8861,-1.3677,2024-03-01,wheat,0.39,-0.21,0.08,1.80,0.29,1,high,field_survey,Irrigation needed
36.8872,-1.3690,2024-03-15,corn,0.34,-0.26,0.05,1.92,0.24,1,high,field_survey,Critical water stress

# Additional Heat Stress
36.8883,-1.3703,2024-02-01,wheat,0.50,0.17,0.21,1.87,0.40,2,high,field_survey,Heat damage
36.8894,-1.3716,2024-02-05,corn,0.53,0.19,0.23,1.81,0.43,2,medium,field_survey,Temperature stress
36.8905,-1.3729,2024-02-20,rice,0.51,0.18,0.22,1.85,0.41,2,high,field_survey,Heat wave impact
36.8916,-1.3742,2024-03-01,wheat,0.49,0.16,0.20,1.89,0.39,2,high,field_survey,Scorching evident
36.8927,-1.3755,2024-03-15,corn,0.52,0.18,0.23,1.84,0.42,2,medium,field_survey,Heat stress moderate

# Additional Nutrient Deficiency
36.8938,-1.3768,2024-02-01,wheat,0.34,0.21,0.27,0.87,0.24,3,high,field_survey,N deficiency
36.8949,-1.3781,2024-02-05,corn,0.37,0.24,0.30,0.83,0.27,3,medium,field_survey,Nutrient poor
36.8960,-1.3794,2024-02-20,rice,0.35,0.22,0.28,0.85,0.25,3,high,field_survey,Chlorosis
36.8971,-1.3807,2024-03-01,wheat,0.32,0.20,0.26,0.88,0.23,3,high,field_survey,Multiple deficiencies
36.8982,-1.3820,2024-03-15,corn,0.38,0.25,0.31,0.82,0.28,3,medium,field_survey,Low fertility

# Additional Disease
36.8993,-1.3833,2024-02-01,wheat,0.27,0.11,0.14,1.07,0.17,4,high,field_survey,Fungal disease
36.9004,-1.3846,2024-02-05,corn,0.29,0.14,0.18,1.03,0.20,4,medium,field_survey,Disease symptoms
36.9015,-1.3859,2024-02-20,rice,0.26,0.12,0.15,1.09,0.16,4,high,field_survey,Bacterial infection
36.9026,-1.3872,2024-03-01,wheat,0.25,0.10,0.13,1.11,0.15,4,high,field_survey,Severe disease
36.9037,-1.3885,2024-03-15,corn,0.28,0.13,0.17,1.05,0.19,4,medium,field_survey,Disease spreading

# Edge cases and mixed conditions
36.9048,-1.3898,2024-02-10,wheat,0.55,0.10,0.18,1.35,0.45,1,medium,field_survey,Water stress with some recovery
36.9059,-1.3911,2024-02-15,corn,0.45,0.08,0.15,1.65,0.35,2,medium,field_survey,Heat and water stress combined
36.9070,-1.3924,2024-02-20,rice,0.42,0.20,0.25,0.95,0.32,3,medium,field_survey,Nutrient deficiency mild
36.9081,-1.3937,2024-02-25,wheat,0.38,0.15,0.20,1.15,0.28,4,medium,field_survey,Early disease detection
36.9092,-1.3950,2024-03-05,corn,0.72,0.29,0.40,0.62,0.60,0,high,field_survey,Recovering from stress

# More diverse spatial distribution
36.7500,-1.2500,2024-01-10,wheat,0.79,0.34,0.46,0.54,0.66,0,high,field_survey,Different region - healthy
36.7520,-1.2520,2024-01-12,corn,0.41,-0.19,0.10,1.76,0.31,1,high,field_survey,Different region - water stress
36.7540,-1.2540,2024-01-14,rice,0.50,0.17,0.21,1.86,0.40,2,high,field_survey,Different region - heat stress
36.7560,-1.2560,2024-01-16,wheat,0.35,0.22,0.28,0.86,0.25,3,high,field_survey,Different region - nutrient def
36.7580,-1.2580,2024-01-18,corn,0.27,0.12,0.15,1.08,0.17,4,high,field_survey,Different region - disease

36.9500,-1.4000,2024-03-20,wheat,0.81,0.36,0.48,0.52,0.68,0,high,field_survey,Another region - healthy
36.9520,-1.4020,2024-03-22,corn,0.39,-0.20,0.09,1.77,0.30,1,high,field_survey,Another region - water stress
36.9540,-1.4040,2024-03-24,rice,0.51,0.18,0.22,1.85,0.41,2,high,field_survey,Another region - heat stress
36.9560,-1.4060,2024-03-26,wheat,0.36,0.23,0.29,0.85,0.26,3,high,field_survey,Another region - nutrient def
36.9580,-1.4080,2024-03-28,corn,0.28,0.13,0.16,1.06,0.18,4,high,field_survey,Another region - disease
